plot,range,line,entry,source,rep,environment
1,2,HM17-02244,13,Leah,1,Late
2,2,Hm17-07029,14,Leah,1,Late
3,2,E19517GT,1,Wang,1,Late
4,2,LG15-1913-73,21,Singh,1,Late
5,2,CR16-0130,18,Rainey,1,Late
6,2,U15-606207,24,Checks,1,Late
7,3,CR17-3701,16,Rainey,1,Late
8,3,CR16-2874,19,Rainey,1,Late
9,3,CR16-0042,15,Rainey,1,Late
10,3,CR17-4112,17,Rainey,1,Late
11,3,K17-6388,4,Schapaugh,1,Late
12,3,SA17-19056,6,Scaboo,1,Late
13,4,LD11-2170,9,Diers,1,Late
14,4,CR16-4386,20,Rainey,1,Late
15,4,SA18-11280,7,Scaboo,1,Late
16,4,U14-910097,25,Checks,1,Late
17,4,LD07-3395bf,10,Diers,1,Late
18,4,E18610T,2,Wang,1,Late
19,5,LD15-3818,11,Diers,1,Late
20,5,LG15-1913-86,22,Singh,1,Late
21,5,LD00-2817,23,Checks,1,Late
22,5,K18-2961,5,Schapaugh,1,Late
23,5,E19269,3,Wang,1,Late
24,5,SA17-30464,8,Scaboo,1,Late
25,6,HM17-12161,12,Leah,1,Late
26,6,SA18-11280,7,Scaboo,2,Late
27,6,U15-606207,24,Checks,2,Late
28,6,HM17-02244,13,Leah,2,Late
29,6,CR16-2874,19,Rainey,2,Late
30,6,LD15-3818,11,Diers,2,Late
31,7,HM17-12161,12,Leah,2,Late
32,7,LD11-2170,9,Diers,2,Late
33,7,E19517GT,1,Wang,2,Late
34,7,LD00-2817,23,Checks,2,Late
35,7,K17-6388,4,Schapaugh,2,Late
36,7,LG15-1913-86,22,Singh,2,Late
37,8,CR17-3701,16,Rainey,2,Late
38,8,CR16-0130,18,Rainey,2,Late
39,8,SA17-30464,8,Scaboo,2,Late
40,8,CR16-0042,15,Rainey,2,Late
41,8,LG15-1913-73,21,Singh,2,Late
42,8,LD07-3395bf,10,Diers,2,Late
43,9,CR16-4386,20,Rainey,2,Late
44,9,E18610T,2,Wang,2,Late
45,9,E19269,3,Wang,2,Late
46,9,K18-2961,5,Schapaugh,2,Late
47,9,SA17-19056,6,Scaboo,2,Late
48,9,U14-910097,25,Checks,2,Late
49,10,Hm17-07029,14,Leah,2,Late
50,10,CR17-4112,17,Rainey,2,Late
51,10,CR16-0042,15,Rainey,3,Late
52,10,E19269,3,Wang,3,Late
53,10,HM17-12161,12,Leah,3,Late
54,10,CR16-4386,20,Rainey,3,Late
55,11,LD15-3818,11,Diers,3,Late
56,11,LD00-2817,23,Checks,3,Late
57,11,K18-2961,5,Schapaugh,3,Late
58,11,CR17-4112,17,Rainey,3,Late
59,11,LG15-1913-86,22,Singh,3,Late
60,11,K17-6388,4,Schapaugh,3,Late
61,12,CR16-2874,19,Rainey,3,Late
62,12,CR16-0130,18,Rainey,3,Late
63,12,HM17-02244,13,Leah,3,Late
64,12,SA18-11280,7,Scaboo,3,Late
65,12,LG15-1913-73,21,Singh,3,Late
66,12,SA17-19056,6,Scaboo,3,Late
67,13,E18610T,2,Wang,3,Late
68,13,U15-606207,24,Checks,3,Late
69,13,SA17-30464,8,Scaboo,3,Late
70,13,LD07-3395bf,10,Diers,3,Late
71,13,Hm17-07029,14,Leah,3,Late
72,13,E19517GT,1,Wang,3,Late
73,14,CR17-3701,16,Rainey,3,Late
74,14,U14-910097,25,Checks,3,Late
75,14,LD11-2170,9,Diers,3,Late
76,14,CR16-2874,19,Rainey,4,Late
77,14,HM17-02244,13,Leah,4,Late
78,14,CR16-0042,15,Rainey,4,Late
79,15,CR16-4386,20,Rainey,4,Late
80,15,U15-606207,24,Checks,4,Late
81,15,LD15-3818,11,Diers,4,Late
82,15,K18-2961,5,Schapaugh,4,Late
83,15,Hm17-07029,14,Leah,4,Late
84,15,LG15-1913-73,21,Singh,4,Late
85,16,SA17-19056,6,Scaboo,4,Late
86,16,K17-6388,4,Schapaugh,4,Late
87,16,LG15-1913-86,22,Singh,4,Late
88,16,LD00-2817,23,Checks,4,Late
89,16,LD07-3395bf,10,Diers,4,Late
90,16,CR16-0130,18,Rainey,4,Late
91,17,SA18-11280,7,Scaboo,4,Late
92,17,CR17-4112,17,Rainey,4,Late
93,17,E18610T,2,Wang,4,Late
94,17,U14-910097,25,Checks,4,Late
95,17,LD11-2170,9,Diers,4,Late
96,17,HM17-12161,12,Leah,4,Late
97,18,SA17-30464,8,Scaboo,4,Late
98,18,E19269,3,Wang,4,Late
99,18,CR17-3701,16,Rainey,4,Late
100,18,E19517GT,1,Wang,4,Late
