plot,range,entry,rep,Treatment
1,2,13,1,Late
2,2,14,1,Late
3,2,1,1,Late
4,2,21,1,Late
5,2,18,1,Late
6,2,24,1,Late
7,3,16,1,Late
8,3,19,1,Late
9,3,15,1,Late
10,3,17,1,Late
11,3,4,1,Late
12,3,6,1,Late
13,4,9,1,Late
14,4,20,1,Late
15,4,7,1,Late
16,4,25,1,Late
17,4,10,1,Late
18,4,2,1,Late
19,5,11,1,Late
20,5,22,1,Late
21,5,23,1,Late
22,5,5,1,Late
23,5,3,1,Late
24,5,8,1,Late
25,6,12,1,Late
26,6,7,2,Late
27,6,24,2,Late
28,6,13,2,Late
29,6,19,2,Late
30,6,11,2,Late
31,7,12,2,Late
32,7,9,2,Late
33,7,1,2,Late
34,7,23,2,Late
35,7,4,2,Late
36,7,22,2,Late
37,8,16,2,Late
38,8,18,2,Late
39,8,8,2,Late
40,8,15,2,Late
41,8,21,2,Late
42,8,10,2,Late
43,9,20,2,Late
44,9,2,2,Late
45,9,3,2,Late
46,9,5,2,Late
47,9,6,2,Late
48,9,25,2,Late
49,10,14,2,Late
50,10,17,2,Late
51,10,15,3,Late
52,10,3,3,Late
53,10,12,3,Late
54,10,20,3,Late
55,11,11,3,Late
56,11,23,3,Late
57,11,5,3,Late
58,11,17,3,Late
59,11,22,3,Late
60,11,4,3,Late
61,12,19,3,Late
62,12,18,3,Late
63,12,13,3,Late
64,12,7,3,Late
65,12,21,3,Late
66,12,6,3,Late
67,13,2,3,Late
68,13,24,3,Late
69,13,8,3,Late
70,13,10,3,Late
71,13,14,3,Late
72,13,1,3,Late
73,14,16,3,Late
74,14,25,3,Late
75,14,9,3,Late
76,14,19,4,Late
77,14,13,4,Late
78,14,15,4,Late
79,15,20,4,Late
80,15,24,4,Late
81,15,11,4,Late
82,15,5,4,Late
83,15,14,4,Late
84,15,21,4,Late
85,16,6,4,Late
86,16,4,4,Late
87,16,22,4,Late
88,16,23,4,Late
89,16,10,4,Late
90,16,18,4,Late
91,17,7,4,Late
92,17,17,4,Late
93,17,2,4,Late
94,17,25,4,Late
95,17,9,4,Late
96,17,12,4,Late
97,18,8,4,Late
98,18,3,4,Late
99,18,16,4,Late
100,18,1,4,Late
