id_sample,sample_name,plot,rep,experiment,environment,season,measurment,sampling_identifier,Height (cm),Width (cm),Date Of Measurement,PictureOfplot,NotesOfplot,PictureOfexperiment,NotesOfexperiment,Audio
1_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,1,1,ACRE-Biomass,Late,y22,width-height,sampling-2,74,63,7/28/2022,,,,,
1_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,1,1,ACRE-Biomass,Late,y22,width-height,sampling-2,57,68,7/28/2022,,,,,
1_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,1,1,ACRE-Biomass,Late,y22,width-height,sampling-2,66,58,7/28/2022,,,,,
1_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,1,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,66,7/28/2022,,,,,
2_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,2,1,ACRE-Biomass,Late,y22,width-height,sampling-2,66,74,7/28/2022,,,,,
2_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,2,1,ACRE-Biomass,Late,y22,width-height,sampling-2,69,63,7/28/2022,,,,,
2_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,2,1,ACRE-Biomass,Late,y22,width-height,sampling-2,74,70,7/28/2022,,,,,
2_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,2,1,ACRE-Biomass,Late,y22,width-height,sampling-2,59,70,7/28/2022,,,,,
3_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,3,1,ACRE-Biomass,Late,y22,width-height,sampling-2,70,70,7/28/2022,,,,,
3_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,3,1,ACRE-Biomass,Late,y22,width-height,sampling-2,69,62,7/28/2022,,,,,
3_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,3,1,ACRE-Biomass,Late,y22,width-height,sampling-2,58,56,7/28/2022,,,,,
3_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,3,1,ACRE-Biomass,Late,y22,width-height,sampling-2,68,60,7/28/2022,,,,,
4_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,4,1,ACRE-Biomass,Late,y22,width-height,sampling-2,64,60,7/28/2022,,,,,
4_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,4,1,ACRE-Biomass,Late,y22,width-height,sampling-2,57,58,7/28/2022,,,,,
4_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,4,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,56,7/28/2022,,,,,
4_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,4,1,ACRE-Biomass,Late,y22,width-height,sampling-2,62,60,7/28/2022,,,,,
5_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,5,1,ACRE-Biomass,Late,y22,width-height,sampling-2,63,61,7/28/2022,,,,,
5_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,5,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,62,7/28/2022,,,,,
5_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,5,1,ACRE-Biomass,Late,y22,width-height,sampling-2,50,50,7/28/2022,,,,,
5_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,5,1,ACRE-Biomass,Late,y22,width-height,sampling-2,55,59,7/28/2022,,,,,
6_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,6,1,ACRE-Biomass,Late,y22,width-height,sampling-2,57,68,7/28/2022,,,,,
6_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,6,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,53,7/28/2022,,,,,
6_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,6,1,ACRE-Biomass,Late,y22,width-height,sampling-2,57,60,7/28/2022,,,,,
6_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,6,1,ACRE-Biomass,Late,y22,width-height,sampling-2,57,61,7/28/2022,,,,,
7_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,7,1,ACRE-Biomass,Late,y22,width-height,sampling-2,61,60,7/28/2022,,,,,
7_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,7,1,ACRE-Biomass,Late,y22,width-height,sampling-2,66,62,7/28/2022,,,,,
7_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,7,1,ACRE-Biomass,Late,y22,width-height,sampling-2,74,66,7/28/2022,,,,,
7_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,7,1,ACRE-Biomass,Late,y22,width-height,sampling-2,71,70,7/28/2022,,,,,
8_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,8,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,65,7/28/2022,,,,,
8_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,8,1,ACRE-Biomass,Late,y22,width-height,sampling-2,67,66,7/28/2022,,,,,
8_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,8,1,ACRE-Biomass,Late,y22,width-height,sampling-2,75,57,7/28/2022,,,,,
