id_observation,observation_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,Height (cm),Width (cm),picture_Plot,picture_Experiment,Date Of Measurement,notes_Plot
1_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,1,1,ACRE-Biomass,Early,y22,width-height,sampling-1,16.51,36.83,,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/1_a_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Experiment_1_2022-07-12-06-07-14.jpg,7/12/2022,
1_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,1,1,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,38.1,,,7/12/2022,
2_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,2,1,ACRE-Biomass,Early,y22,width-height,sampling-1,39.37,50.8,,,7/12/2022,
2_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,2,1,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,45.72,,,7/12/2022,
3_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,3,1,ACRE-Biomass,Early,y22,width-height,sampling-1,38.1,40.64,,,7/12/2022,
3_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,3,1,ACRE-Biomass,Early,y22,width-height,sampling-1,39.37,49.53,,,7/12/2022,
4_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,4,1,ACRE-Biomass,Early,y22,width-height,sampling-1,40.64,41.91,,,7/12/2022,
4_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,4,1,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,43.18,,,7/12/2022,
5_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,5,1,ACRE-Biomass,Early,y22,width-height,sampling-1,31.75,39.37,,,7/12/2022,
5_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,5,1,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,45.72,,,7/12/2022,
6_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,6,1,ACRE-Biomass,Early,y22,width-height,sampling-1,38.1,48.26,,,7/12/2022,
6_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,6,1,ACRE-Biomass,Early,y22,width-height,sampling-1,38.1,43.18,,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/6_b_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Experiment_1_2022-07-12-03-56-10.jpg,7/12/2022,
7_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,7,1,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,40.64,,,7/12/2022,
7_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,7,1,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,43.18,,,7/12/2022,
8_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,8,1,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,48.26,,,7/12/2022,
8_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,8,1,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,39.37,,,7/12/2022,
9_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,9,1,ACRE-Biomass,Early,y22,width-height,sampling-1,35.56,39.37,,,7/12/2022,
9_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,9,1,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,34.29,,,7/12/2022,
10_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,10,1,ACRE-Biomass,Early,y22,width-height,sampling-1,41.91,48.26,,,7/12/2022,
