id_observation,observation_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,Height (cm),Width (cm),Date Of Measurement,picture_Plot,picture_Experiment,notes_Plot,audio
1_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,1,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,47,7/19/2022,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Late_y22/photos/1_a_ACRE-Biomass_Late_y22_width-height_sampling-1_picture_Plot_1_2022-07-19-10-28-55.jpg,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Late_y22/photos/1_a_ACRE-Biomass_Late_y22_width-height_sampling-1_picture_Experiment_1_2022-07-19-10-29-22.jpg,,
1_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,1,1,ACRE-Biomass,Late,y22,width-height,sampling-1,42,55,7/19/2022,,,,
1_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,1,1,ACRE-Biomass,Late,y22,width-height,sampling-1,42.5,54,7/19/2022,,,,
1_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,1,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37,46,7/19/2022,,,,
2_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,2,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,60,7/19/2022,,,,
2_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,2,1,ACRE-Biomass,Late,y22,width-height,sampling-1,41,59,7/19/2022,,,,
2_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,2,1,ACRE-Biomass,Late,y22,width-height,sampling-1,43,55,7/19/2022,,,,
2_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,2,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,53,7/19/2022,,,,
3_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,3,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32.5,51,7/19/2022,,,,
3_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,3,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,56,7/19/2022,,,,
3_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,3,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37,48,7/19/2022,,,,
3_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,3,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37.5,57,7/19/2022,,,,
4_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,4,1,ACRE-Biomass,Late,y22,width-height,sampling-1,31,46,7/19/2022,,,,
4_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,4,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,48,7/19/2022,,,,
4_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,4,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,56,7/19/2022,,,,
