id_sample,plot,sample_name,experiment_name,environment,sampling_identifier,measurment,season,LAI_FILE,LAI,DATE,TIME
1_A_ACRE-Biomass_Early_y22_LAI_sampling-5,1,A,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-001A,3.595,20220817,07:47:12
1_B_ACRE-Biomass_Early_y22_LAI_sampling-5,1,B,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-001B,3.849,20220817,07:47:46
2_A_ACRE-Biomass_Early_y22_LAI_sampling-5,2,A,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-002A,5.101,20220817,07:48:22
2_B_ACRE-Biomass_Early_y22_LAI_sampling-5,2,B,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-002B,4.996,20220817,07:49:29
3_A_ACRE-Biomass_Early_y22_LAI_sampling-5,3,A,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-003A,5.423,20220817,07:50:13
3_B_ACRE-Biomass_Early_y22_LAI_sampling-5,3,B,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-003B,5.416,20220817,07:50:49
4_A_ACRE-Biomass_Early_y22_LAI_sampling-5,4,A,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-004A,4.534,20220817,07:51:15
4_B_ACRE-Biomass_Early_y22_LAI_sampling-5,4,B,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-004B,4.860,20220817,07:52:25
5_A_ACRE-Biomass_Early_y22_LAI_sampling-5,5,A,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-005A,3.700,20220817,07:52:52
5_B_ACRE-Biomass_Early_y22_LAI_sampling-5,5,B,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-005B,4.076,20220817,07:53:26
6_A_ACRE-Biomass_Early_y22_LAI_sampling-5,6,A,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-006A,4.604,20220817,07:53:52
6_B_ACRE-Biomass_Early_y22_LAI_sampling-5,6,B,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-006B,5.377,20220817,07:54:32
7_A_ACRE-Biomass_Early_y22_LAI_sampling-5,7,A,ACRE-Biomass,Early,sampling-5,LAI,y22,AE5-007A,4.562,20220817,07:55:14
