id_sample,plot,sample_name,experiment_name,environment,sampling_identifier,measurment,season,LAI_FILE,LAI,DATE,TIME
1_A_ACRE-Biomass_Late_y22_LAI_sampling-5,1,A,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-001A,5.207,20220830,17:48:13
1_B_ACRE-Biomass_Late_y22_LAI_sampling-5,1,B,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-001B,4.116,20220830,17:48:48
2_A_ACRE-Biomass_Late_y22_LAI_sampling-5,2,A,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-002A,5.715,20220830,17:49:26
2_B_ACRE-Biomass_Late_y22_LAI_sampling-5,2,B,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-002B,5.491,20220830,17:49:50
3_A_ACRE-Biomass_Late_y22_LAI_sampling-5,3,A,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-003A,5.84,20220830,17:51:26
3_B_ACRE-Biomass_Late_y22_LAI_sampling-5,3,B,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-003B,5.235,20220830,17:52:10
4_A_ACRE-Biomass_Late_y22_LAI_sampling-5,4,A,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-004A,5.707,20220830,17:54:52
4_B_ACRE-Biomass_Late_y22_LAI_sampling-5,4,B,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-004B,5.26,20220830,17:55:18
5_A_ACRE-Biomass_Late_y22_LAI_sampling-5,5,A,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-005A,7.027,20220830,17:55:46
5_B_ACRE-Biomass_Late_y22_LAI_sampling-5,5,B,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-005B,6.945,20220830,17:56:07
6_A_ACRE-Biomass_Late_y22_LAI_sampling-5,6,A,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-006A,6.415,20220830,17:56:35
6_B_ACRE-Biomass_Late_y22_LAI_sampling-5,6,B,ACRE-Biomass,Late,sampling-5,LAI,y22,AL5-006B,5.965,20220830,17:56:56
