"plot","range","line","entry","source","rep","environment","id_sample","sample_name","experiment_name","sampling_identifier","variable_name","season","variable_value","date","variable_units"
1,2,"E19269",3,"Wang",1,"Early planting date","1_A_ACRE-Biomass_Early_y22_LAI_sampling-1","A","ACRE Public Biomass","sampling-1","Leaf Area Index",2022,0.6592,2022-07-13,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_B_ACRE-Biomass_Early_y22_LAI_sampling-1","B","ACRE Public Biomass","sampling-1","Leaf Area Index",2022,0.8709,2022-07-13,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_A_ACRE-Biomass_Early_y22_LAI_sampling-2","A","ACRE Public Biomass","sampling-2","Leaf Area Index",2022,4.722,2022-07-25,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_B_ACRE-Biomass_Early_y22_LAI_sampling-2","B","ACRE Public Biomass","sampling-2","Leaf Area Index",2022,2.165,2022-07-25,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_A_ACRE-Biomass_Early_y22_LAI_sampling-3","A","ACRE Public Biomass","sampling-3","Leaf Area Index",2022,2.069,2022-08-01,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_B_ACRE-Biomass_Early_y22_LAI_sampling-3","B","ACRE Public Biomass","sampling-3","Leaf Area Index",2022,2.327,2022-08-01,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_A_ACRE-Biomass_Early_y22_LAI_sampling-4","A","ACRE Public Biomass","sampling-4","Leaf Area Index",2022,2.939,2022-08-09,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_B_ACRE-Biomass_Early_y22_LAI_sampling-4","B","ACRE Public Biomass","sampling-4","Leaf Area Index",2022,2.878,2022-08-09,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_A_ACRE-Biomass_Early_y22_LAI_sampling-5","A","ACRE Public Biomass","sampling-5","Leaf Area Index",2022,3.595,2022-08-17,"LAI"
1,2,"E19269",3,"Wang",1,"Early planting date","1_B_ACRE-Biomass_Early_y22_LAI_sampling-5","B","ACRE Public Biomass","sampling-5","Leaf Area Index",2022,3.849,2022-08-17,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_A_ACRE-Biomass_Early_y22_LAI_sampling-1","A","ACRE Public Biomass","sampling-1","Leaf Area Index",2022,0.71,2022-07-13,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_B_ACRE-Biomass_Early_y22_LAI_sampling-1","B","ACRE Public Biomass","sampling-1","Leaf Area Index",2022,0.4045,2022-07-13,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_A_ACRE-Biomass_Early_y22_LAI_sampling-2","A","ACRE Public Biomass","sampling-2","Leaf Area Index",2022,1.105,2022-07-25,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_B_ACRE-Biomass_Early_y22_LAI_sampling-2","B","ACRE Public Biomass","sampling-2","Leaf Area Index",2022,1.906,2022-07-25,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_A_ACRE-Biomass_Early_y22_LAI_sampling-3","A","ACRE Public Biomass","sampling-3","Leaf Area Index",2022,3.144,2022-08-01,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_B_ACRE-Biomass_Early_y22_LAI_sampling-3","B","ACRE Public Biomass","sampling-3","Leaf Area Index",2022,3.309,2022-08-01,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_A_ACRE-Biomass_Early_y22_LAI_sampling-4","A","ACRE Public Biomass","sampling-4","Leaf Area Index",2022,3.319,2022-08-09,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_B_ACRE-Biomass_Early_y22_LAI_sampling-4","B","ACRE Public Biomass","sampling-4","Leaf Area Index",2022,3.63,2022-08-09,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_A_ACRE-Biomass_Early_y22_LAI_sampling-5","A","ACRE Public Biomass","sampling-5","Leaf Area Index",2022,5.101,2022-08-17,"LAI"
2,2,"U15-606207",24,"Checks",1,"Early planting date","2_B_ACRE-Biomass_Early_y22_LAI_sampling-5","B","ACRE Public Biomass","sampling-5","Leaf Area Index",2022,4.996,2022-08-17,"LAI"
3,2,"SA18-11280",7,"Scaboo",1,"Early planting date","3_A_ACRE-Biomass_Early_y22_LAI_sampling-1","A","ACRE Public Biomass","sampling-1","Leaf Area Index",2022,0.8457,2022-07-13,"LAI"
3,2,"SA18-11280",7,"Scaboo",1,"Early planting date","3_B_ACRE-Biomass_Early_y22_LAI_sampling-1","B","ACRE Public Biomass","sampling-1","Leaf Area Index",2022,2.631,2022-07-13,"LAI"
3,2,"SA18-11280",7,"Scaboo",1,"Early planting date","3_A_ACRE-Biomass_Early_y22_LAI_sampling-2","A","ACRE Public Biomass","sampling-2","Leaf Area Index",2022,2.068,2022-07-25,"LAI"
3,2,"SA18-11280",7,"Scaboo",1,"Early planting date","3_B_ACRE-Biomass_Early_y22_LAI_sampling-2","B","ACRE Public Biomass","sampling-2","Leaf Area Index",2022,3.064,2022-07-25,"LAI"
3,2,"SA18-11280",7,"Scaboo",1,"Early planting date","3_A_ACRE-Biomass_Early_y22_LAI_sampling-3","A","ACRE Public Biomass","sampling-3","Leaf Area Index",2022,3.753,2022-08-01,"LAI"
3,2,"SA18-11280",7,"Scaboo",1,"Early planting date","3_B_ACRE-Biomass_Early_y22_LAI_sampling-3","B","ACRE Public Biomass","sampling-3","Leaf Area Index",2022,3.694,2022-08-01,"LAI"
