plot,range,line,entry,source,rep,environment,id_sample,sample_name,experiment_name,sampling_identifier,variable_name,season,variable_value,date,variable_units
1,2,E19269,3,Wang,1,Early planting date,1_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE Public Biomass,sampling-1,Leaf Area Index,2022,0.6592,20220713,LAI
1,2,E19269,3,Wang,1,Early planting date,1_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE Public Biomass,sampling-1,Leaf Area Index,2022,0.8709,20220713,LAI
1,2,E19269,3,Wang,1,Early planting date,1_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE Public Biomass,sampling-2,Leaf Area Index,2022,4.722,20220725,LAI
1,2,E19269,3,Wang,1,Early planting date,1_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE Public Biomass,sampling-2,Leaf Area Index,2022,2.165,20220725,LAI
1,2,E19269,3,Wang,1,Early planting date,1_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE Public Biomass,sampling-3,Leaf Area Index,2022,2.069,20220801,LAI
1,2,E19269,3,Wang,1,Early planting date,1_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE Public Biomass,sampling-3,Leaf Area Index,2022,2.327,20220801,LAI
1,2,E19269,3,Wang,1,Early planting date,1_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE Public Biomass,sampling-4,Leaf Area Index,2022,2.939,20220809,LAI
1,2,E19269,3,Wang,1,Early planting date,1_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE Public Biomass,sampling-4,Leaf Area Index,2022,2.878,20220809,LAI
1,2,E19269,3,Wang,1,Early planting date,1_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE Public Biomass,sampling-5,Leaf Area Index,2022,3.595,20220817,LAI
1,2,E19269,3,Wang,1,Early planting date,1_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE Public Biomass,sampling-5,Leaf Area Index,2022,3.849,20220817,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE Public Biomass,sampling-1,Leaf Area Index,2022,0.71,20220713,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE Public Biomass,sampling-1,Leaf Area Index,2022,0.4045,20220713,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE Public Biomass,sampling-2,Leaf Area Index,2022,1.105,20220725,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE Public Biomass,sampling-2,Leaf Area Index,2022,1.906,20220725,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE Public Biomass,sampling-3,Leaf Area Index,2022,3.144,20220801,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE Public Biomass,sampling-3,Leaf Area Index,2022,3.309,20220801,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE Public Biomass,sampling-4,Leaf Area Index,2022,3.319,20220809,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE Public Biomass,sampling-4,Leaf Area Index,2022,3.63,20220809,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE Public Biomass,sampling-5,Leaf Area Index,2022,5.101,20220817,LAI
2,2,U15-606207,24,Checks,1,Early planting date,2_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE Public Biomass,sampling-5,Leaf Area Index,2022,4.996,20220817,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE Public Biomass,sampling-1,Leaf Area Index,2022,0.8457,20220713,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE Public Biomass,sampling-1,Leaf Area Index,2022,2.631,20220713,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE Public Biomass,sampling-2,Leaf Area Index,2022,2.068,20220725,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE Public Biomass,sampling-2,Leaf Area Index,2022,3.064,20220725,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE Public Biomass,sampling-3,Leaf Area Index,2022,3.753,20220801,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE Public Biomass,sampling-3,Leaf Area Index,2022,3.694,20220801,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE Public Biomass,sampling-4,Leaf Area Index,2022,3.979,20220809,LAI
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE Public Biomass,sampling-4,Leaf Area Index,2022,3.946,20220809,LAI
